headline,curiosity_gap,outrage,fear,false_certainty,emotional_framing,sensational_formatting
"You Won't Believe What This Senator Said Next",2,0,0,0,0,0
"Senate passes $1.2T infrastructure bill 69-30",0,0,0,0,0,0
"Governor DESTROYS whiny critics in epic takedown",0,2,0,0,1,1
"Federal Reserve holds interest rates steady",0,0,0,0,0,0
"The silent killer hiding in your kitchen",1,0,2,0,0,0
"Deadly flu outbreak: is your family at risk?",0,0,2,0,0,0
"CDC reports seasonal flu cases up 12% over last year",0,0,0,0,0,0
"Scientists prove this food ruins your sleep",1,0,0,2,0,0
"Study suggests link between diet and sleep quality",0,0,0,0,0,0
"The truth about vaccines they aren't telling you",1,0,1,2,0,0
"Heartbreaking scenes as tearful librarians reopen beloved landmark",0,0,0,0,2,0
"Local library reopens after renovation",0,0,0,0,0,0
"27 INSANE budget facts!! #9 will blow your mind",1,0,0,0,1,2
"City council approves budget for 2026",0,0,0,0,0,0
"This one trick doctors don't want you to know",2,0,0,1,0,0
"Here's what the new tax rules mean for homeowners",1,0,0,0,0,0
"Governor slams critics of education veto",0,1,0,0,0,0
"Court rules against city in zoning dispute",0,0,0,0,0,0
"Experts sound alarm over rising sea levels",0,0,1,0,0,0
"Researchers find correlation between exercise and mood",0,0,0,0,0,0
"New study shows diet controls your sleep",0,0,0,1,0,0
"Absolutely stunning: the most incredible comeback in history",0,0,0,0,2,0
"Community celebrates library's triumphant return",0,0,0,0,1,0
"7 changes coming to the city budget",0,0,0,0,0,1
"BREAKING!!! You NEED to see this",2,0,0,0,0,2
"Storm system expected to bring rain to the Midwest this weekend",0,0,0,0,0,0
"They want to take away everything you've worked for",0,2,1,0,0,0
"The surprising reason your electric bill went up",1,0,0,0,0,0
"Quiz: how well do you know your city budget?",0,0,0,0,0,1
"Earnings: retailer posts 3% revenue growth in Q2",0,0,0,0,0,0
